id;name;description;scale;location
1;approach;Kip unleash;Officer Home Loan Account quantify;engineer
2;Fresh Avon Buckinghamshire;Research Borders monetize;Car;reinvent Officer
3;Shoes;gold;payment Metal;Central Tools
4;Somali Shilling invoice;magenta Saint Martin;synergy;Function-based payment Books
5;program;National payment;Checking Account digital AI;Licensed Frozen Table
6;upward-trending Versatile input;Utah Gorgeous;process improvement;Central Gorgeous
7;HDD;Virginia Security Central;SMTP Square;well-modulated 24/7
8;local area network Barbados Dollar;Granite;lavender;Pre-emptive
9;3rd generation Handcrafted Fresh Shirt Steel;Senior View Frozen;Health;Saint Lucia Borders Georgia
10;drive Balanced silver;Advanced invoice Senior;Afghanistan;connect bottom-line
