id;name;result;cause;result_time;jhi_level;status;resolve_time;source_type;source_id;details
1;Borders strategic Towels;Creative open architecture;Berkshire;2020-03-19T17:11:20;Group Mongolia;holistic Computers;2020-03-19T13:27:23;Towels content Personal Loan Account;virtual;Down-sized
2;Outdoors Refined Wooden Chips;Lead violet Ohio;JSON;2020-03-19T22:48:57;program;GB bi-directional;2020-03-19T21:58:39;zero administration SMTP withdrawal;Terrace;Integrated matrix Forward
3;connect system USB;Licensed Towels;Designer back up;2020-03-19T06:56:17;Producer;Granite;2020-03-19T09:23:52;redundant Comoros Associate;interfaces Toys;THX
4;Sleek Louisiana copy;Benin Small Wooden Pants;Central;2020-03-19T14:53:47;AGP Realigned;Iceland Krona;2020-03-19T15:26:24;web-readiness Gorgeous Soft Table;generate systems fuchsia;integrate
5;Customer projection index;multi-byte Avon Buckinghamshire;Configuration;2020-03-19T04:35:59;client-driven Rand mission-critical;mission-critical Home Loan Account;2020-03-19T03:24:28;Avon;one-to-one;Tuna Avon
6;copy Ranch Buckinghamshire;Virgin Islands, British Health Lek;blue Sausages;2020-03-19T18:13:07;copy Fantastic Cheese;Strategist New Mexico;2020-03-20T01:46:24;Checking Account;Rustic Baby;Computers Oregon
7;Officer Rustic Tasty;Metal Afghani;Bouvet Island (Bouvetoya);2020-03-19T12:06:17;Intelligent Granite Shoes Chips;leading-edge;2020-03-20T02:40:15;Liaison;Seychelles Sharable;Future
8;lime;Integration Organized;Lead;2020-03-19T11:29:37;Communications;index;2020-03-20T00:24:29;Auto Loan Account disintermediate application;Steel;Texas Refined Steel Tuna
9;compressing;relationships zero defect;time-frame maximized salmon;2020-03-19T08:54:58;Synergized;Producer;2020-03-19T05:07:32;Investment Account California;RAM Sports;Fresh Movies synergize
10;Legacy invoice;fuchsia Libyan Dinar Unbranded;Keyboard teal;2020-03-19T18:21:07;digital;Metal Wooden;2020-03-19T21:03:36;New Jersey copy;Practical Frozen Mouse strategic;customer loyalty Granite
